"var_name","num_of_nonmissing","pc_of_nonmissing","num_of_missing","pc_of_missing","mean","std","min","p5","p10","p25","p50","p75","p90","p95","p99","max"
"n_pre1_drug28",6112,"100.00%",0,"0.00%",0,0.02,0,0,0,0,0,0,0,0,0,1
"n_pre1_drug29",6112,"100.00%",0,"0.00%",0.01,0.08,0,0,0,0,0,0,0,0,0,1
"n_pre1_drug30",6112,"100.00%",0,"0.00%",0,0.07,0,0,0,0,0,0,0,0,0,1
"n_pre1_drug31",6112,"100.00%",0,"0.00%",0.01,0.09,0,0,0,0,0,0,0,0,0,1
"n_pre1_drug32",6112,"100.00%",0,"0.00%",0.02,0.14,0,0,0,0,0,0,0,0,1,1
"n_pre1_drug33",6112,"100.00%",0,"0.00%",0,0.03,0,0,0,0,0,0,0,0,0,1
"n_pre1_drug34",6112,"100.00%",0,"0.00%",0,0.01,0,0,0,0,0,0,0,0,0,1
"n_pre1_drug35",6112,"100.00%",0,"0.00%",0,0,0,0,0,0,0,0,0,0,0,0
"n_pre1_drug36",6112,"100.00%",0,"0.00%",0,0,0,0,0,0,0,0,0,0,0,0
"n_pre1_drug37",6112,"100.00%",0,"0.00%",0,0.03,0,0,0,0,0,0,0,0,0,1
"n_pre1_drug38",6112,"100.00%",0,"0.00%",0,0.02,0,0,0,0,0,0,0,0,0,1
"n_pre1_drug39",6112,"100.00%",0,"0.00%",0,0,0,0,0,0,0,0,0,0,0,0
"n_pre1_drug40",6112,"100.00%",0,"0.00%",0.04,0.21,0,0,0,0,0,0,0,0,1,1
"n_pre1_drug41",6112,"100.00%",0,"0.00%",0.02,0.13,0,0,0,0,0,0,0,0,1,1
"n_pre1_drug42",6112,"100.00%",0,"0.00%",0,0.06,0,0,0,0,0,0,0,0,0,1
"n_pre2_drug2",6112,"100.00%",0,"0.00%",0,0.05,0,0,0,0,0,0,0,0,0,1
"n_pre2_drug3",6112,"100.00%",0,"0.00%",0.02,0.13,0,0,0,0,0,0,0,0,1,1
"n_pre2_drug4",6112,"100.00%",0,"0.00%",0.01,0.07,0,0,0,0,0,0,0,0,0,1
"n_pre2_drug5",6112,"100.00%",0,"0.00%",0.01,0.11,0,0,0,0,0,0,0,0,1,1
"n_pre2_drug6",6112,"100.00%",0,"0.00%",0,0,0,0,0,0,0,0,0,0,0,0
"n_pre2_drug7",6112,"100.00%",0,"0.00%",0.17,0.38,0,0,0,0,0,0,1,1,1,1
"n_pre2_drug8",6112,"100.00%",0,"0.00%",0.01,0.08,0,0,0,0,0,0,0,0,0,1
"n_pre2_drug9",6112,"100.00%",0,"0.00%",0,0.05,0,0,0,0,0,0,0,0,0,1
"n_pre2_drug10",6112,"100.00%",0,"0.00%",0,0,0,0,0,0,0,0,0,0,0,0
"n_pre2_drug11",6112,"100.00%",0,"0.00%",0,0.05,0,0,0,0,0,0,0,0,0,1
"n_pre2_drug12",6112,"100.00%",0,"0.00%",0,0.06,0,0,0,0,0,0,0,0,0,1
"n_pre2_drug13",6112,"100.00%",0,"0.00%",0,0.06,0,0,0,0,0,0,0,0,0,1
"n_pre2_drug14",6112,"100.00%",0,"0.00%",0,0.02,0,0,0,0,0,0,0,0,0,1
"n_pre2_drug15",6112,"100.00%",0,"0.00%",0,0.03,0,0,0,0,0,0,0,0,0,1
"n_pre2_drug16",6112,"100.00%",0,"0.00%",0,0.07,0,0,0,0,0,0,0,0,0,1
"n_pre2_drug17",6112,"100.00%",0,"0.00%",0,0,0,0,0,0,0,0,0,0,0,0
"n_pre2_drug18",6112,"100.00%",0,"0.00%",0.11,0.31,0,0,0,0,0,0,1,1,1,1
"n_pre2_drug19",6112,"100.00%",0,"0.00%",0,0,0,0,0,0,0,0,0,0,0,0
"n_pre2_drug20",6112,"100.00%",0,"0.00%",0.02,0.15,0,0,0,0,0,0,0,0,1,1
"n_pre2_drug21",6112,"100.00%",0,"0.00%",0,0.01,0,0,0,0,0,0,0,0,0,1
"n_pre2_drug22",6112,"100.00%",0,"0.00%",0,0.05,0,0,0,0,0,0,0,0,0,1
"n_pre2_drug23",6112,"100.00%",0,"0.00%",0.01,0.09,0,0,0,0,0,0,0,0,0,1
"n_pre2_drug24",6112,"100.00%",0,"0.00%",0.06,0.24,0,0,0,0,0,0,0,1,1,1
"n_pre2_drug25",6112,"100.00%",0,"0.00%",0,0.04,0,0,0,0,0,0,0,0,0,1
"n_pre2_drug26",6112,"100.00%",0,"0.00%",0,0,0,0,0,0,0,0,0,0,0,0
"n_pre2_drug27",6112,"100.00%",0,"0.00%",0,0.04,0,0,0,0,0,0,0,0,0,1
